Timestamp;Y;Y;rol
28291000;-6.548553E-001;1.180105E+002;1.452544E+002
28302000;-6.557375E-001;1.122675E+002;1.452544E+002
28313000;-6.557375E-001;1.140184E+002;1.555497E+002
28324000;-6.566529E-001;1.197614E+002;1.666854E+002
28335000;-6.575665E-001;1.197614E+002;1.790818E+002
28347000;-6.584587E-001;1.233332E+002;1.897272E+002
28358000;-6.593090E-001;1.211621E+002;1.962406E+002
28370000;-6.601452E-001;1.211621E+002;2.026138E+002
28382000;-6.609538E-001;1.171000E+002;2.031041E+002
28393000;-6.618073E-001;1.193411E+002;2.010730E+002
28405000;-6.627330E-001;1.193411E+002;2.849000E+002
28417000;-6.636521E-001;1.206718E+002;2.014933E+002
28429000;-6.645241E-001;1.206718E+002;2.014933E+002
28440000;-6.653787E-001;1.166798E+002;2.025438E+002
28451000;-6.662467E-001;1.121975E+002;2.019835E+002
28463000;-6.671060E-001;1.121975E+002;2.183719E+002
28474000;-6.679418E-001;1.118473E+002;2.313285E+002
28486000;-6.687537E-001;1.098863E+002;2.419040E+002
28498000;-6.695564E-001;1.094661E+002;2.510787E+002
28509000;-6.704193E-001;1.070849E+002;2.583624E+002
28520000;-6.713827E-001;1.029528E+002;2.632649E+002
28531000;-6.724795E-001;1.047037E+002;2.599032E+002
28543000;-6.736246E-001;1.068047E+002;2.571718E+002
28554000;-6.747876E-001;1.085556E+002;2.513588E+002
28565000;-6.759165E-001;1.096062E+002;2.474368E+002
28577000;-6.769670E-001;1.052639E+002;2.448455E+002
28588000;-6.780136E-001;9.959103E+001;2.448455E+002
28599000;-6.780136E-001;1.045636E+002;2.545104E+002
28610000;-6.791281E-001;1.061044E+002;2.614440E+002
28621000;-6.802672E-001;1.048437E+002;2.643855E+002
28632000;-6.813710E-001;1.048437E+002;2.652259E+002
28643000;-6.824767E-001;1.061044E+002;2.662064E+002
28654000;-6.836039E-001;1.082755E+002;2.641754E+002
28665000;-6.847567E-001;1.114271E+002;2.641754E+002
28677000;-6.859362E-001;1.151390E+002;2.601133E+002
28688000;-6.870353E-001;1.182206E+002;2.547206E+002
28699000;-6.880561E-001;1.188509E+002;2.509386E+002
28710000;-6.890291E-001;1.175202E+002;2.487675E+002
28721000;-6.899748E-001;1.143686E+002;2.442152E+002
28733000;-6.908951E-001;1.098863E+002;2.436549E+002
28745000;-6.917796E-001;1.141585E+002;2.461762E+002
28757000;-6.926473E-001;1.199014E+002;2.479271E+002
28769000;-6.935025E-001;1.245238E+002;2.486975E+002
28780000;-6.942941E-001;1.264148E+002;2.499581E+002
28791000;-6.950462E-001;1.295664E+002;2.496079E+002
28803000;-6.958491E-001;1.302668E+002;2.492577E+002
28816000;-6.966556E-001;1.306870E+002;2.461762E+002
28829000;-6.974728E-001;1.304068E+002;2.423942E+002
28840000;-6.982991E-001;1.306169E+002;2.430245E+002
28851000;-6.991043E-001;1.269751E+002;2.435848E+002
28862000;-6.998402E-001;1.231931E+002;2.447754E+002
28873000;-7.005433E-001;1.189209E+002;2.447754E+002
28884000;-7.012573E-001;1.194812E+002;2.520592E+002
28896000;-7.020422E-001;1.224928E+002;2.614440E+002
28907000;-7.028981E-001;1.213022E+002;2.657162E+002
28918000;-7.037963E-001;1.243137E+002;2.736302E+002
28929000;-7.045932E-001;1.230531E+002;2.808439E+002
28940000;-7.052956E-001;1.211621E+002;2.865869E+002
28952000;-7.052956E-001;1.168899E+002;2.898085E+002
28963000;-7.059966E-001;1.121275E+002;2.930302E+002
28974000;-7.067743E-001;1.121275E+002;2.930302E+002
28986000;-7.076235E-001;1.100264E+002;2.965320E+002
28997000;-7.084336E-001;1.110069E+002;2.962518E+002
29008000;-7.092374E-001;1.103065E+002;2.940807E+002
29019000;-7.099677E-001;1.044235E+002;2.910692E+002
29031000;-7.106793E-001;1.057542E+002;3.029052E+002
29042000;-7.113856E-001;1.081354E+002;3.128503E+002
29054000;-7.121061E-001;1.095361E+002;3.190835E+002
29065000;-7.128202E-001;1.099564E+002;3.223052E+002
29076000;-7.135329E-001;1.110069E+002;3.216048E+002
29087000;-7.142410E-001;1.096762E+002;3.244763E+002
29098000;-7.149541E-001;1.086957E+002;3.252467E+002
29109000;-7.156614E-001;1.060343E+002;3.224453E+002
29121000;-7.163610E-001;1.042834E+002;3.195037E+002
29132000;-7.170717E-001;1.030928E+002;3.155818E+002
29143000;-7.170717E-001;1.007816E+002;3.120099E+002
29154000;-7.177679E-001;9.987119E+001;3.109594E+002
29165000;-7.184492E-001;9.987119E+001;3.172626E+002
29177000;-7.191055E-001;1.050538E+002;3.180330E+002
29188000;-7.197563E-001;1.061044E+002;3.205543E+002
29199000;-7.204058E-001;1.061044E+002;3.205543E+002
29211000;-7.210675E-001;1.047737E+002;3.232156E+002
29223000;-7.217727E-001;1.028827E+002;3.369427E+002
29234000;-7.225245E-001;1.005715E+002;3.381333E+002
29245000;-7.233175E-001;9.791018E+001;3.381333E+002
29257000;-7.241370E-001;9.713978E+001;3.381333E+002
29268000;-7.249610E-001;9.699971E+001;3.410048E+002
29280000;-7.257888E-001;9.756000E+001;4.740000E+002
29291000;-7.266113E-001;9.405820E+001;3.293088E+002
29302000;-7.274082E-001;9.034630E+001;3.293088E+002
29313000;-7.282204E-001;9.405820E+001;3.318300E+002
29324000;-7.290161E-001;9.748996E+001;3.342813E+002
29335000;-7.297927E-001;9.826035E+001;3.330907E+002
29346000;-7.305663E-001;1.014120E+002;3.307095E+002
29357000;-7.313421E-001;1.052639E+002;3.279081E+002
29368000;-7.320931E-001;1.082755E+002;3.241961E+002
29379000;-7.320931E-001;1.105166E+002;3.202041E+002
29390000;-7.328410E-001;1.104466E+002;3.155117E+002
29402000;-7.335545E-001;1.112870E+002;3.084381E+002
29413000;-7.342404E-001;1.110769E+002;3.008742E+002
29425000;-7.355328E-001;1.098863E+002;2.955515E+002
29436000;-7.355328E-001;1.082055E+002;2.929601E+002
29447000;-7.361050E-001;1.102365E+002;2.961118E+002
29459000;-7.366543E-001;1.131080E+002;2.987031E+002
29470000;-7.371676E-001;1.138083E+002;2.987031E+002
29481000;-7.376665E-001;1.138083E+002;2.987031E+002
29492000;-7.381650E-001;1.142285E+002;3.010843E+002
29504000;-7.386971E-001;1.142285E+002;3.039557E+002
29515000;-7.392513E-001;1.162596E+002;3.053565E+002
29526000;-7.398251E-001;1.178704E+002;3.074576E+002
29537000;-7.403640E-001;1.144386E+002;3.089283E+002
29549000;-7.408985E-001;1.123376E+002;3.107492E+002
29560000;-7.414426E-001;1.089058E+002;3.134106E+002
29572000;-7.419941E-001;1.036531E+002;3.143911E+002
29583000;-7.425733E-001;1.017622E+002;3.143911E+002
29595000;-7.431830E-001;1.030928E+002;3.227954E+002
29606000;-7.437944E-001;1.024625E+002;3.313398E+002
29617000;-7.444183E-001;1.013419E+002;3.382033E+002
29628000;-7.450743E-001;1.002914E+002;3.402344E+002
29639000;-7.457358E-001;9.748996E+001;3.448567E+002
29650000;-7.464063E-001;9.545892E+001;3.454170E+002
29661000;-7.470854E-001;9.230731E+001;3.418452E+002
29673000;-7.470854E-001;9.034630E+001;3.342813E+002
29684000;-7.477958E-001;9.034630E+001;3.342813E+002
29695000;-7.485696E-001;8.901562E+001;3.273477E+002
29707000;-7.493864E-001;8.873547E+001;3.184532E+002
29719000;-7.502319E-001;8.908565E+001;2.970222E+002
29730000;-7.510771E-001;8.908565E+001;2.970222E+002
29741000;-7.518447E-001;9.608924E+001;2.991933E+002
29752000;-7.525674E-001;1.019022E+002;3.008041E+002
29764000;-7.532347E-001;1.065246E+002;2.990533E+002
29775000;-7.538755E-001;1.107968E+002;2.961818E+002
29786000;-7.545074E-001;1.136683E+002;2.935204E+002
29797000;-7.551100E-001;1.152791E+002;2.916294E+002
29809000;-7.556924E-001;1.140885E+002;2.894583E+002
29821000;-7.562585E-001;1.101665E+002;2.900887E+002
29832000;-7.568281E-001;1.058242E+002;2.881977E+002
29844000;-7.574325E-001;1.027426E+002;2.821746E+002
29855000;-7.580504E-001;9.987119E+001;2.802837E+002
29866000;-7.586977E-001;9.952100E+001;2.783927E+002
29878000;-7.593679E-001;1.031629E+002;2.818945E+002
29889000;-7.600363E-001;1.047737E+002;2.853963E+002
29900000;-7.607008E-001;1.063845E+002;2.866569E+002
29912000;-7.613649E-001;1.069448E+002;2.898085E+002
29923000;-7.620156E-001;1.071549E+002;2.929601E+002
29934000;-7.620156E-001;1.070849E+002;2.915594E+002
29945000;-7.626613E-001;1.055441E+002;2.909291E+002
29956000;-7.633131E-001;1.060343E+002;2.909291E+002
29968000;-7.639664E-001;1.070148E+002;2.905789E+002
29980000;-7.646395E-001;1.072950E+002;2.907190E+002
29992000;-7.660471E-001;1.054040E+002;2.891782E+002
30003000;-7.667369E-001;1.047037E+002;2.874273E+002
30014000;-7.674006E-001;1.082755E+002;2.918396E+002
30025000;-7.674006E-001;1.082755E+002;2.918396E+002
30036000;-7.680696E-001;1.100264E+002;2.971623E+002
30047000;-7.687562E-001;1.082055E+002;3.019948E+002
30058000;-7.694587E-001;1.081354E+002;3.063370E+002
30069000;-7.701938E-001;1.068748E+002;3.110294E+002
30081000;-7.709609E-001;1.047037E+002;3.158618E+002
30092000;-7.717593E-001;1.022524E+002;3.174026E+002
30104000;-7.725953E-001;1.012019E+002;3.155818E+002
30115000;-7.734547E-001;1.019022E+002;3.126402E+002
30127000;-7.743110E-001;1.022524E+002;3.099088E+002
30139000;-7.751165E-001;1.040033E+002;3.072475E+002
30150000;-7.758629E-001;1.024625E+002;3.072475E+002
30162000;-7.765832E-001;1.084856E+002;3.094886E+002
30173000;-7.772735E-001;1.107968E+002;3.125002E+002
30185000;-7.779476E-001;1.118473E+002;3.151615E+002
30197000;-7.786484E-001;1.123376E+002;3.148113E+002
30209000;-7.793965E-001;1.139484E+002;3.144612E+002
30220000;-7.801917E-001;1.176603E+002;3.148113E+002
30231000;-7.810008E-001;1.202516E+002;3.137608E+002
30243000;-7.817621E-001;1.238935E+002;3.134807E+002
30254000;-7.824533E-001;1.248040E+002;3.138308E+002
30265000;-7.830809E-001;1.202516E+002;3.143210E+002
30276000;-7.830809E-001;1.148589E+002;3.163521E+002
30287000;-7.837085E-001;1.099564E+002;3.163521E+002
30298000;-7.843613E-001;1.099564E+002;3.163521E+002
30310000;-7.850312E-001;1.124776E+002;3.317600E+002
30322000;-7.857498E-001;1.135982E+002;3.317600E+002
